QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.started,instruction_text.stopped,cont_instruction.started,cont_instruction.stopped,QA_pre_intro_title.started,QA_pre_intro_title.stopped,QA_pre_intro_text.started,QA_pre_intro_text.stopped,QA_pre_intro_audio.started,QA_pre_intro_audio.stopped,cont_QA_pre_intro.started,cont_QA_pre_intro.stopped,QA_pre_rec_text.started,QA_pre_rec_text.stopped,QA_pre_rec_beep_hint.started,QA_pre_rec_beep_hint.stopped,QA_pre_rec_question.started,QA_pre_rec_question.stopped,QA_pre_rec_beep_start.started,QA_pre_rec_beep_start.stopped,filename,QA_pre_rec_beep_end.started,QA_pre_rec_beep_end.stopped,QA_pre_rec_break.started,QA_pre_rec_break.stopped,Pause_text.started,Pause_text.stopped,text_3.started,text_3.stopped,session,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,6.982213020324707,None,11.965763807296753,None,14.68265700340271,46.734370946884155,14.68265700340271,46.734370946884155,14.66596064567566,None,46.68427395820618,None,48.58433485031128,73.62090182304382,48.56754670143127,None,49.16763191223144,None,63.56841378211975,None,data/rec_QA_pre_block_000_trial_000.wav,,,,,,,,,001,,2019_Dec_28_2319,vvk,3.2.3,60.01894595252064,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,72.56866483688354,73.58586001396179,73.58586001396179,None,,,,,001,,2019_Dec_28_2319,vvk,3.2.3,60.01894595252064,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,78.70221090316772,103.73697996139526,78.68642930984497,None,79.28569869995117,None,93.68651490211487,94.70313882827759,data/rec_QA_pre_block_000_trial_001.wav,,,,,,,,,001,,2019_Dec_28_2319,vvk,3.2.3,60.01894595252064,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,102.68697481155395,103.70538687705994,103.70538687705994,None,,,,,001,,2019_Dec_28_2319,vvk,3.2.3,60.01894595252064,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,108.60389685630798,133.63922095298767,108.58709292411804,None,109.18709187507629,None,123.58762769699096,124.60438895225525,data/rec_QA_pre_block_000_trial_002.wav,,,,,,,,,001,,2019_Dec_28_2319,vvk,3.2.3,60.01894595252064,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,132.58829669952394,133.6048228740692,133.6048228740692,None,,,,,001,,2019_Dec_28_2319,vvk,3.2.3,60.01894595252064,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.6216959953308,None,,,001,,2019_Dec_28_2319,vvk,3.2.3,60.01894595252064,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,142.772118806839,167.80645394325256,142.73885049819947,None,143.35545282363893,None,157.7559488296509,158.77263593673706,data/rec_QA_pre_block_001_trial_000.wav,,,,,,,,,001,,2019_Dec_28_2319,vvk,3.2.3,60.01894595252064,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,166.7564428329468,167.77324986457825,167.77324986457825,None,,,,,001,,2019_Dec_28_2319,vvk,3.2.3,60.01894595252064,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,172.79045701026917,197.82458591461182,172.77342972755434,None,173.37329273223878,None,187.77410273551942,188.79089784622192,data/rec_QA_pre_block_001_trial_001.wav,,,,,,,,,001,,2019_Dec_28_2319,vvk,3.2.3,60.01894595252064,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,196.774280834198,197.79229187965393,197.79229187965393,None,,,,,001,,2019_Dec_28_2319,vvk,3.2.3,60.01894595252064,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,202.77447485923767,227.80924201011658,202.75787458419802,None,203.35822682380677,None,217.75916891098024,218.77558588981628,data/rec_QA_pre_block_001_trial_002.wav,,,,,,,,,001,,2019_Dec_28_2319,vvk,3.2.3,60.01894595252064,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,226.7591338634491,227.77600002288818,227.77600002288818,None,,,,,001,,2019_Dec_28_2319,vvk,3.2.3,60.01894595252064,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.79292392730713,None,,,001,,2019_Dec_28_2319,vvk,3.2.3,60.01894595252064,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.42630982398987,None,,,,,,,
